signal_id,subsystem,direction,mesa_card,connector,pin_channel,hal_net,field_point_or_load,authority_status,primary_source,cleanup_notes,dest_connector,dest_pin,factory_wire
MAG_IN_POS,ATC,IN,7i84U-A,TB2,IN28,mag-in-pos,Magazine index in-position prox (PLC X00D MIPRS); BCD pot number valid only while TRUE,FACTORY_INTERFACE,atc_ladder_transcription_2026-07-27,"Mandatory for magazine indexing (rungs 3401/33xx). Writer added in field_7i84u.hal:79 (net mag-in-pos <= input-28) on 2026-08-06. Verify prox type/polarity before commissioning. | [RECON 2026-08-08 CONFIRMED: MAG_IN_POS = PRS-13 MIPRS 'MAGAZINE INPOSITION' wire 213 X0D, Dwg 4143075409 pg135. In-position strobe; tool-# bits are PRS-21..25 (711P/712P/714P/718P/721P). Supersedes prior 'PRS-13=tool bit'.] | [PINOUT-RECONCILED 2026-08-09: BBIA-1 board = MAGAZINE POSITION OK, wire 225, CN2-9/CND2-9 (trusted). pg135 read the in-position prox as PRS-13/wire 213, but wire 213 is absent from the BBIA-1 pinout; POSITION OK is 225/CN2-9. PLC-side prox remains PRS-13/X00D.] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md]",CN2,9,225
ESTOP_MONITOR,Machine safety,IN,7i84U-A,TB2,IN29,estop-monitor,OEM MAR relay aux contact via interposing relay (Omron G2R-1-SND-DC24 or Phoenix PLC-RSC-24DC/21) driven from EHB bus,PROPOSED,front_control_panel_wiring.md §6.5 + open_issues.md §3 (2026-08-03),"OEM MAR relay aux contact via interposing relay (Omron G2R-1-SND-DC24 or Phoenix PLC-RSC-24DC/21) driven from EHB bus. OEM/new-side boundary: dry contact only, no OEM P24 into 7i84U common. This is the sole software E-stop monitor; OEM hardware chain remains authoritative. | [LOCATED 2026-08-08: EMERGENCY STOP X00 *ESP via EMS/MAR relay, Dwg 4143075407 pg133. Mesa IN29 = status monitor only; keep hardwired, do NOT wire as normal input] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/estop_ladder_transcription.md]",,,
MANUAL_TOOL_CLAMP_PB,ATC tool,IN,7i84U-A,TB2,IN30,none,Manual tool clamp FOOT switch (PLC X01B TCFS.M),RESERVED,element_list_crosswalk_2026-07-27 + open_issues.md §3 (2026-08-03),"Reserved terminal; intentionally HAL-unbound until the switch and safe manual-clamp behavior are field verified. Pairs with MANUAL_TOOL_UNCLAMP_PB on IN9. | [LOCATED 2026-08-08: X1B TCCF.M foot switch, wire 149B, T.U CN2-44, Dwg 4143075407 pg133] | [2026-08-09: RESERVED, hal_net none (was manual-clamp-pb) - manual clamp deferred per io_capacity_reconciliation.md; restore net when switch behavior is field-verified] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md]",CN2,44,149B
SERVO_READY,Drive safety,IN,7i84U-A,TB2,IN31,servo-ready,Servo drives ready relay contact,FACTORY_INTERFACE,archived_wiring_map,Wire before first motion if available | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/estop_ladder_transcription.md],CN6,7,SA
SPINDLE_FWD,Spindle,OUT,7i84U-A,TB3,OUT0,spindle-fwd,FR-SX forward input,FACTORY_INTERFACE,archived_wiring_map,Digital FWD signal to FR-SX | [RECON 2026-08-08 §D: FR-SX SRN] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/spindle_run_ladder_transcription.md],CN4,9,SRN
SPINDLE_REV,Spindle,OUT,7i84U-A,TB3,OUT1,spindle-rev,FR-SX reverse input,FACTORY_INTERFACE,archived_wiring_map,Digital REV signal to FR-SX | [RECON 2026-08-08 §D: FR-SX SRI] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/spindle_run_ladder_transcription.md],CN4,10,SRI
SPINDLE_ENABLE,Spindle,OUT,7i84U-A,TB3,OUT2,spindle-run-output,FR-SX enable input,FACTORY_INTERFACE,field_7i84u.hal,"FWD, REV, RUN, ORCM1, and pwmgen.03.enable use spindle-motion-permit; the static hold initializes FALSE and watchdog, E-stop, machine-on, servo-ready, and spindle-fault states must also permit motion | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/spindle_run_ladder_transcription.md]",,,
HYD_PUMP_ON,Hydraulic,OUT,7i84U-A,TB3,OUT3,hyd-pump-on,Hydraulic + head-lube pump contactor (PLC Y096 HYD.M),FACTORY_INTERFACE,element_list_crosswalk_2026-07-27,Required before clamp/gear/ATC; interposing relay for contactor coil; prove HYD_PRESS_OK after start | [RECON 2026-08-08 §A: element list confirms Y096 HYD.M combined hydraulic + head-lube pump on 060231] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/estop_ladder_transcription.md],CN11,16,235
SPINDLE_ORIENT_CMD,Spindle,OUT,7i84U-A,TB3,OUT4,spindle-orient-cmd,FR-SX orient command (PLC Y093 ORCM1.M),FACTORY_INTERFACE,element_list_crosswalk_2026-07-27,"Gated by spindle-motion-permit; validate ladder sequence exact drive terminal relay topology and polarity before landing the field wire | [RECON 2026-08-08 §A: element list confirms Y093 ORCM1.M 'SPINDLE ORIENT COMMAND' (.M not .MV) on 060231] | [RECON 2026-08-08 §D: FR-SX CTM] | [LOCATED 2026-08-08: ORC1 CON1-25 wire 4-12 T.U CN3-14, Dwg 4143075408 pg134] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/spindle_run_ladder_transcription.md]",CN3,14,ORI C1
SPINDLE_ORIENT_LOGEAR,Spindle,OUT,7i84U-A,TB3,OUT5,orient-lo-gear,Low-gear orient assist (PLC Y094 CTL.M),FACTORY_INTERFACE,element_list_crosswalk_2026-07-27,"Verify in ladder whether required in high gear too | [RECON 2026-08-08 §A: element list confirms Y094 CTL.M 'LOW GEAR ORIENT' — low-gear-specific on 060231] | [RECON 2026-08-08 §D: FR-SX GTL] | [LOCATED 2026-08-08: CTL 'LOW GEAR ORIENT' CON1-27 wire 4-13 T.U CN3-15, Dwg 4143075408 pg134 - confirms low-gear orient assist] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/spindle_run_ladder_transcription.md]",CN3,15,CTL
Z_BRAKE_REL_ENABLE,Motion,OUT,7i84U-A,TB3,OUT6,z-brake-release,N1J-L2-201 Z brake release,FACTORY_INTERFACE,field_7i84u.hal,Asymmetric sequence: z-brake-delay releases brake 100ms after request rises and engages it immediately when request falls; z-drive-drop-delay asserts S-ON immediately and retains it 100ms after request falls. Values are placeholders pending D7 measurement and drive-ready/brake-confirm feedback. Add suppression across SOL-201 coil.,,,
GEAR_HI_SOL,Spindle gear,OUT,7i84U-A,TB3,OUT7,gear-hi-sol,RLY-1 to SOL-12 Fujikoshi hydraulic valve,FACTORY_INTERFACE,phase2_plan,Measure coil voltage before selecting relay contacts | [RECON 2026-08-08 §G: SWAPPED SOL-13->SOL-12 per Dwg 41431075414 p140 (Solenoid Driver 1) + element list Y00B GSH.M=SOL-12=HIGH] | [CONFIRMED 2026-08-08: pg100 TB-51 (Dwg 4143075338) wire 412->SOL-12->GEAR SHIFT HIGH; physical double-check of §G swap complete] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/orient_ladder_transcription.md] | [2026-08-13 CONFIRMED: wire 412 read at the LEFT coil of the Nachi SA-G01-E3X-C1-31 double-solenoid valve = SOL-12 gear shift high],CN11,4,712
GEAR_LO_SOL,Spindle gear,OUT,7i84U-A,TB2,OUT8,gear-lo-sol,RLY-2 to SOL-13 Fujikoshi hydraulic valve,FACTORY_INTERFACE,phase2_plan,Conflict: connector_crossref.md omits SOL-12 and identifies SOL-13 as low; verify both gear-shift coils before wiring | [RECON 2026-08-08 §G: SWAPPED SOL-12->SOL-13 per Dwg 41431075414 p140 + element list Y00C GSL.M=SOL-13=LOW; HOLD_CONFLICT cleared] | [CONFIRMED 2026-08-08: pg100 TB-51 (Dwg 4143075338) wire 413->SOL-13->GEAR SHIFT LOW; physical double-check of §G swap complete] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/orient_ladder_transcription.md] | [2026-08-13 CONFIRMED: wire 413 read at the RIGHT coil of the same Nachi SA-G01-E3X-C1-31 valve = SOL-13 gear shift low. Both gear coils are on ONE 3-position valve],CN11,5,213
TOOL_CLAMP_SOL,ATC tool,OUT,7i84U-A,TB2,OUT9,none,PHANTOM - no separate clamp solenoid; SOL-10 is single-coil spring-return (clamp = de-energize). OUT9 free.,NOT_USED,phase2_plan,"[C5 RESOLVED 2026-08-09: dropped. SOL-10 single-coil spring-return tool-unclamp (pg100 + connector_crossref + Dwg141331AS041); clamp is spring return. OUT9 now free. Confirm single-coil by tracing RLY-3/RLY-4 at cabinet.] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md] | [2026-08-13 PHANTOM CONFIRMED: coil wire labels read on the machine show three coils over two valve bodies - 412+413 on the double-solenoid gear-shift valve, 410 alone on a separate tool-unclamp valve. No second coil exists for a clamp solenoid. authority_conflicts.md section 2 RESOLVED]",,,
TOOL_UNCLAMP_SOL,ATC tool,OUT,7i84U-A,TB2,OUT10,tool-unclamp-sol,RLY-4 to SOL-10 Fujikoshi hydraulic valve,FACTORY_INTERFACE,phase2_plan,"Evidence supports SOL-10 tool unclamp; verify relay path and whether the valve is single-coil or dual-coil before energizing | [C5 2026-08-09: sole tool-clamp/unclamp output. SOL-10 single-coil spring-return - energize=unclamp, de-energize=clamp. TOOL_CLAMP_SOL/OUT9 dropped. Confirm RLY-4 load at cabinet.] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md] | [2026-08-13 CONFIRMED: wire 410 read at the coil on a separate Nachi directional valve = SOL-10 tool unclamp, single coil]",CN11,3,710
COOLANT_ON,Coolant,OUT,7i84U-A,TB2,OUT11,flood-coolant,Coolant pump relay,FACTORY_INTERFACE,archived_wiring_map,May need interposing relay | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/coolant_ladder_transcription.md],CN11,15,236
MIST_COOLANT,Utility,OUT,7i84U-A,TB2,OUT12,none,NOT USED - mist coolant eliminated 2026-08-09 (no mist system on this machine); OUT12 free,NOT_USED,archived_wiring_map,[ELIMINATED 2026-08-09: owner confirms no mist coolant system. HOLD_CONFLICT void; 7i84U-A TB2 OUT12 now available. The commented iocontrol.0.coolant-mist net can be removed from the HAL.],,,
MAG_CW_SOL,ATC motor,OUT,7i84U-A,TB2,OUT13,mag-cw-sol,ATC magazine CW rotation relay -> SOL-8B (pg91 Dwg 4143075332: SOL-8B=408B=MAGAZINE CW/reverse),COMMISSIONING_PENDING,archived_wiring_map,CONFLICT #3 in wiring/authority_conflicts.md: SOL-8A/8B direction mapping unproven. Renamed from atc-fwd to match atc_orient.hal net. Verify direction under controlled commissioning. | [RESOLVED 2026-08-09: coil identity = SOL-8B (CW) per pg91 + connector_crossref (both agree; alarm-table OCR was wrong). Prior 'SOL-8A' was backwards. HOLD_CONFLICT cleared. PENDING BENCH: verify observed magazine rotation under controlled commissioning before landing/energizing.] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md],,,
MAG_CCW_SOL,ATC motor,OUT,7i84U-A,TB2,OUT14,mag-ccw-sol,ATC magazine CCW rotation relay -> SOL-8A (pg91 Dwg 4143075332: SOL-8A=408A=MAGAZINE CCW/forward),COMMISSIONING_PENDING,archived_wiring_map,CONFLICT #3 in wiring/authority_conflicts.md: SOL-8A/8B direction mapping unproven. Renamed from atc-rev to match atc_orient.hal net. Verify direction under controlled commissioning. | [RESOLVED 2026-08-09: coil identity = SOL-8A (CCW) per pg91 + connector_crossref. Prior 'SOL-8B' was backwards. HOLD_CONFLICT cleared. PENDING BENCH: verify observed magazine rotation under controlled commissioning before landing/energizing.] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md],,,
ALARM_OUT,Panel,OUT,7i84U-A,TB2,OUT15,none,Alarm light or horn,RESERVED,archived_wiring_map,"Confirm load and behavior | [2026-08-09: RESERVED, hal_net none (was alarm-out) - optional load unconfirmed; restore net when alarm device is chosen]",,,
SSERIAL_PORT1_TXA,Field I/O,LINK,7i44,P1 7i44 physical channel 1,port1.TX+,none,7i84U-B RJ45 pin 2 RX+,FACTORY_LINK,mesa_firmware_checklist.md,"7i44 channel 1 to 7i84U-B CN0 under HostMot2 port 0; RS-422 differential pair | [MESA-CONFIRMED 2026-08-08: matches 7i84U J1 RJ-45 pinout (7i84uman.pdf: p1 RXA/p2 RXB/p3 TXA/p6 TXB/p4-5 GND/p7-8 +5V, 568B colors); straight CAT5 to 7i44; plug-in cable, no continuity trace needed] | [READY 2026-08-09: factory-link acceptance applies to two distinct plug-in segments: Mesa 50-pin IDC from 7i80HDT P1 to 7i44, then CAT5 smart-serial from 7i44 to the identified 7i84U channel. Inspect assembly identity, keying/orientation, seating, strain relief, and visible condition; verify expected smart-serial enumeration without communication or watchdog faults. Do not continuity-audit or re-terminate individual conductors.]",7i84U-B RJ45,2,
SSERIAL_PORT1_TXB,Field I/O,LINK,7i44,P1 7i44 physical channel 1,port1.TX-,none,7i84U-B RJ45 pin 1 RX-,FACTORY_LINK,mesa_firmware_checklist.md,"RS-422 differential pair | [MESA-CONFIRMED 2026-08-08: matches 7i84U J1 RJ-45 pinout (7i84uman.pdf: p1 RXA/p2 RXB/p3 TXA/p6 TXB/p4-5 GND/p7-8 +5V, 568B colors); straight CAT5 to 7i44; plug-in cable, no continuity trace needed] | [READY 2026-08-09: factory-link acceptance applies to two distinct plug-in segments: Mesa 50-pin IDC from 7i80HDT P1 to 7i44, then CAT5 smart-serial from 7i44 to the identified 7i84U channel. Inspect assembly identity, keying/orientation, seating, strain relief, and visible condition; verify expected smart-serial enumeration without communication or watchdog faults. Do not continuity-audit or re-terminate individual conductors.]",7i84U-B RJ45,1,
SSERIAL_PORT1_RXA,Field I/O,LINK,7i44,P1 7i44 physical channel 1,port1.RX+,none,7i84U-B RJ45 pin 6 TX+,FACTORY_LINK,mesa_firmware_checklist.md,"RS-422 differential pair | [MESA-CONFIRMED 2026-08-08: matches 7i84U J1 RJ-45 pinout (7i84uman.pdf: p1 RXA/p2 RXB/p3 TXA/p6 TXB/p4-5 GND/p7-8 +5V, 568B colors); straight CAT5 to 7i44; plug-in cable, no continuity trace needed] | [READY 2026-08-09: factory-link acceptance applies to two distinct plug-in segments: Mesa 50-pin IDC from 7i80HDT P1 to 7i44, then CAT5 smart-serial from 7i44 to the identified 7i84U channel. Inspect assembly identity, keying/orientation, seating, strain relief, and visible condition; verify expected smart-serial enumeration without communication or watchdog faults. Do not continuity-audit or re-terminate individual conductors.]",7i84U-B RJ45,6,
SSERIAL_PORT1_RXB,Field I/O,LINK,7i44,P1 7i44 physical channel 1,port1.RX-,none,7i84U-B RJ45 pin 3 TX-,FACTORY_LINK,mesa_firmware_checklist.md,"RS-422 differential pair | [MESA-CONFIRMED 2026-08-08: matches 7i84U J1 RJ-45 pinout (7i84uman.pdf: p1 RXA/p2 RXB/p3 TXA/p6 TXB/p4-5 GND/p7-8 +5V, 568B colors); straight CAT5 to 7i44; plug-in cable, no continuity trace needed] | [READY 2026-08-09: factory-link acceptance applies to two distinct plug-in segments: Mesa 50-pin IDC from 7i80HDT P1 to 7i44, then CAT5 smart-serial from 7i44 to the identified 7i84U channel. Inspect assembly identity, keying/orientation, seating, strain relief, and visible condition; verify expected smart-serial enumeration without communication or watchdog faults. Do not continuity-audit or re-terminate individual conductors.]",7i84U-B RJ45,3,
SSERIAL_PORT1_GND,Field I/O,LINK,7i44,P1 7i44 physical channel 1,port1.GND,none,7i84U-B RJ45 pin 4/5 ground,FACTORY_LINK,mesa_firmware_checklist.md,"Factory-link signal ground; cable construction is not field-modified | [MESA-CONFIRMED 2026-08-08: matches 7i84U J1 RJ-45 pinout (7i84uman.pdf: p1 RXA/p2 RXB/p3 TXA/p6 TXB/p4-5 GND/p7-8 +5V, 568B colors); straight CAT5 to 7i44] | [READY 2026-08-09: two distinct plug-in segments: Mesa 50-pin IDC from 7i80HDT P1 to 7i44, then CAT5 smart-serial from 7i44 channel 1 to 7i84U-B. Inspect assembly identity, keying/orientation, seating, strain relief, and visible condition; verify expected smart-serial enumeration without communication or watchdog faults. Do not continuity-audit or re-terminate individual conductors.]",7i84U-B RJ45,4/5,
SSERIAL_PORT1_5V,Field I/O,LINK,7i44,P1 7i44 physical channel 1,port1.+5V,none,7i84U-B RJ45 pin 7/8 +5V,FACTORY_LINK,mesa_firmware_checklist.md,"Serial power for 7i84U-B logic | [MESA-CONFIRMED 2026-08-08: matches 7i84U J1 RJ-45 pinout (7i84uman.pdf: p1 RXA/p2 RXB/p3 TXA/p6 TXB/p4-5 GND/p7-8 +5V, 568B colors); straight CAT5 to 7i44; plug-in cable, no continuity trace needed] | [READY 2026-08-09: factory-link acceptance applies to two distinct plug-in segments: Mesa 50-pin IDC from 7i80HDT P1 to 7i44, then CAT5 smart-serial from 7i44 to the identified 7i84U channel. Inspect assembly identity, keying/orientation, seating, strain relief, and visible condition; verify expected smart-serial enumeration without communication or watchdog faults. Do not continuity-audit or re-terminate individual conductors.]",7i84U-B RJ45,7/8,
SEVENI84UB_FIELD_A_24V,Power,POWER,7i84U-B,TB1,"TB1 pins 3/4 VFIELDA (+24 V field power, 5-28 VDC)",none,Field power bank A (TB3 I/O),PROPOSED,Mesa 7i84U manual pp.2/7-8/47,Both terminals are VFIELDA; powers TB3 outputs 0-7 and inputs 0-15. Never connect either pin to 0 V.,TB3,,
SEVENI84UB_FIELD_B_24V,Power,POWER,7i84U-B,TB1,"TB1 pins 1/2 VFIELDB (+24 V field power, 5-28 VDC)",none,Field power bank B (TB2 I/O),PROPOSED,Mesa 7i84U manual pp.2/7-8/47,Both terminals are VFIELDB; powers TB2 outputs 8-15 and inputs 16-31. Never connect either pin to 0 V.,TB2,,
X_LIMIT_PLUS,Axis safety,IN,7i84U-B,TB3,IN0,limit-x-plus,X positive overtravel limit (NC),FACTORY_INTERFACE,field_7i84u.hal,"NC contact consumed through input-00-not; promote to FIELD_VERIFIED after continuity and fail-open test | [LOCATED 2026-08-09: +X OVER TRAVEL X20 *+LX wire 1-45, Dwg 4143075410 (Motion Switch Input 4) pg136] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/interlocks_ladder_transcription.md]",,,
X_LIMIT_MINUS,Axis safety,IN,7i84U-B,TB3,IN1,limit-x-minus,X negative overtravel limit (NC),FACTORY_INTERFACE,field_7i84u.hal,"NC contact consumed through input-01-not; promote to FIELD_VERIFIED after continuity and fail-open test | [LOCATED 2026-08-09: -X OVER TRAVEL X21 *-LX wire 1-46, Dwg 4143075410 (Motion Switch Input 4) pg136] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/interlocks_ladder_transcription.md]",,,
Y_LIMIT_PLUS,Axis safety,IN,7i84U-B,TB3,IN2,limit-y-plus,Y positive overtravel limit (NC),FACTORY_INTERFACE,field_7i84u.hal,"NC contact consumed through input-02-not; promote to FIELD_VERIFIED after continuity and fail-open test | [LOCATED 2026-08-09: +Y OVER TRAVEL X22 *+LY wire 1-47, Dwg 4143075410 (Motion Switch Input 4) pg136] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/interlocks_ladder_transcription.md]",CN3,37,+LY
Y_LIMIT_MINUS,Axis safety,IN,7i84U-B,TB3,IN3,limit-y-minus,Y negative overtravel limit (NC),FACTORY_INTERFACE,field_7i84u.hal,"NC contact consumed through input-03-not; promote to FIELD_VERIFIED after continuity and fail-open test | [LOCATED 2026-08-09: -Y OVER TRAVEL X23 *-LY wire 1-48, Dwg 4143075410 (Motion Switch Input 4) pg136] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/interlocks_ladder_transcription.md]",,,
Z_LIMIT_PLUS,Axis safety,IN,7i84U-B,TB3,IN4,limit-z-plus,Z positive overtravel limit (NC),FACTORY_INTERFACE,field_7i84u.hal,"NC contact consumed through input-04-not; promote to FIELD_VERIFIED after continuity and fail-open test | [LOCATED 2026-08-09: +Z OVER TRAVEL X24 *+LZ wire 1-49, Dwg 4143075410 (Motion Switch Input 4) pg136] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/interlocks_ladder_transcription.md]",,,
Z_LIMIT_MINUS,Axis safety,IN,7i84U-B,TB3,IN5,limit-z-minus,Z negative overtravel limit (NC),FACTORY_INTERFACE,field_7i84u.hal,"NC contact consumed through input-05-not; promote to FIELD_VERIFIED after continuity and fail-open test | [LOCATED 2026-08-09: -Z OVER TRAVEL X25 *-LZ wire 1-50, Dwg 4143075410 (Motion Switch Input 4) pg136. Physical LS switch designator not on this sheet - bench-verify] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/interlocks_ladder_transcription.md]",CN3,38,-LZ
X_HOME,Axis safety,IN,7i84U-B,TB3,IN6,home-x,X home switch (LS-42 confirmed),FACTORY_INTERFACE,field_7i84u.hal,"NO contact; was ACCEPTED_VERIFY - promote to TRACED after physical continuity + fail-open test | [LOCATED 2026-08-09: LS-42 X zero-return decel, X28 *DECX wire 1-16 (home reference), Dwg 4143075410 (Motion Switch Input 4) pg136 + pg91] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/homing_ladder_transcription.md]",CN2,15,*DECX
Y_HOME,Axis safety,IN,7i84U-B,TB3,IN7,home-y,Y home switch (LS-52),FACTORY_INTERFACE,field_7i84u.hal,"NO contact; was ACCEPTED_VERIFY - promote to TRACED after physical continuity + fail-open test | [LOCATED 2026-08-09: LS-52 Y zero-return decel, X29 *DECY wire 1-17 (home reference), Dwg 4143075410 (Motion Switch Input 4) pg136; LS digit faded - verify] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/homing_ladder_transcription.md]",CN2,16,*DECY
Z_HOME,Axis safety,IN,7i84U-B,TB3,IN8,home-z,Z home switch (LS-62 confirmed TB-51),FACTORY_INTERFACE,field_7i84u.hal,"NO contact; was ACCEPTED_VERIFY - promote to TRACED after physical continuity + fail-open test | [LOCATED 2026-08-09: LS-62 Z zero-return decel, X2A *DECZ wire 1-18 (home reference), Dwg 4143075410 (Motion Switch Input 4) pg136 (also pg100 TB-51)] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/homing_ladder_transcription.md]",CN1,14,*DECZ
AIR_OK,ATC,IN,7i84U-B,TB3,IN9,air-ok,Machine air-pressure OK switch,PROPOSED,field_7i84u.hal,Raw input and fail-inhibited default; verify switch exists and closes on healthy pressure before live M6 | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md],,,
SEVENI84UB_IN10_SPARE,Spare,IN,7i84U-B,TB3,IN10,none,Spare input on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_IN11_SPARE,Spare,IN,7i84U-B,TB3,IN11,none,Spare input on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_IN12_SPARE,Spare,IN,7i84U-B,TB3,IN12,none,Spare input on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_IN13_SPARE,Spare,IN,7i84U-B,TB3,IN13,none,Spare input on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_IN14_SPARE,Spare,IN,7i84U-B,TB3,IN14,none,Spare input on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
PROBE_SKIP1,Motion,IN,7i84U-B,TB3,IN15,probe-in,Renishaw MP-3 probe SKIP1 (PLC X03F SKIP1.M),PROPOSED,field_7i84u.hal,Moved from bare P3 gpio.042 to opto-isolated 7i84U-B input-15. MP-3 is believed NC so HAL consumes input-15-not; verify physical polarity fail-open response and measured probing latency before use. | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/probe_mms_ladder_transcription.md],,,
SEVENI84UB_IN16_SPARE,Spare,IN,7i84U-B,TB2,IN16,none,Spare input on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_IN17_SPARE,Spare,IN,7i84U-B,TB2,IN17,none,Spare input on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_IN18_SPARE,Spare,IN,7i84U-B,TB2,IN18,none,Spare input on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_IN19_SPARE,Spare,IN,7i84U-B,TB2,IN19,none,Spare input on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_IN20_SPARE,Spare,IN,7i84U-B,TB2,IN20,none,Spare input on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_IN21_SPARE,Spare,IN,7i84U-B,TB2,IN21,none,Spare input on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_IN22_SPARE,Spare,IN,7i84U-B,TB2,IN22,none,Spare input on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_IN23_SPARE,Spare,IN,7i84U-B,TB2,IN23,none,Spare input on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_IN24_SPARE,Spare,IN,7i84U-B,TB2,IN24,none,Spare input on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_IN25_SPARE,Spare,IN,7i84U-B,TB2,IN25,none,Spare input on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_IN26_SPARE,Spare,IN,7i84U-B,TB2,IN26,none,Spare input on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_IN27_SPARE,Spare,IN,7i84U-B,TB2,IN27,none,Spare input on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_IN28_SPARE,Spare,IN,7i84U-B,TB2,IN28,none,Spare input on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_IN29_SPARE,Spare,IN,7i84U-B,TB2,IN29,none,Spare input on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_IN30_SPARE,Spare,IN,7i84U-B,TB2,IN30,none,Spare input on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
SEVENI84UB_IN31_SPARE,Spare,IN,7i84U-B,TB2,IN31,none,Spare input on 7i84U-B,SPARE,mesa_firmware_checklist.md,Leave unlanded,,,
X_DRIVE_ENABLE,Motion,OUT,7i84U-B,TB3,OUT0,x-enable,X servo S-ON to MELDAS DK-427 (X-drive ENA input),FACTORY_INTERFACE,field_7i84u.hal,Interposing relay for drive enable input; measure command-to-contact and fault-to-drop timing with the actual smart-serial configuration,,,
Y_DRIVE_ENABLE,Motion,OUT,7i84U-B,TB3,OUT1,y-enable,Y servo S-ON to MELDAS DK-427 (Y-drive ENA input),FACTORY_INTERFACE,field_7i84u.hal,Interposing relay for drive enable input.,,,
Z_DRIVE_ENABLE,Motion,OUT,7i84U-B,TB3,OUT2,z-enable,Z servo S-ON to MELDAS DK-427 (Z-drive ENA input),FACTORY_INTERFACE,field_7i84u.hal,Interposing relay for drive enable input.,,,
